trajectory_index,phase,sim_time_s,joint_rmse_rad,joint_max_abs_rad,ee_position_error_m
117,Lift,2.9599999999998956,0.012425502032254877,0.02719630098470749,0.012406714833240021
118,Lift,2.9799999999998934,0.012476768357563263,0.0272865499534668,0.012421814550334148
119,Lift,2.999999999999891,0.012517680856288528,0.02735731321458934,0.012430190210029378
120,Lift,3.019999999999889,0.01255010361247274,0.02741188801118488,0.012432666411713643
121,Lift,3.039999999999887,0.012575610387829273,0.027453448626705068,0.012430625860226165
122,Lift,3.0599999999998846,0.012595488442782458,0.027484709137424623,0.012425224862711817
123,Lift,3.0799999999998824,0.012610781225512957,0.027507549065715287,0.012417058941564819
124,Lift,3.09999999999988,0.012622348380256804,0.027523303621186268,0.012406331251872108
125,Lift,3.119999999999878,0.012630832223386294,0.02753332537985942,0.01239355370509382
126,Lift,3.139999999999876,0.012636827894929599,0.02753878306992219,0.012379306166624696
127,Lift,3.1599999999998736,0.01264079189395538,0.027540540977014416,0.012363816354060142
128,Lift,3.1799999999998714,0.012643082058635092,0.027539169807801467,0.012347181873739115
129,Lift,3.199999999999869,0.01264400023863964,0.02753524527970863,0.01232962025165461
130,Lift,3.219999999999867,0.012643800857551797,0.027529203859146312,0.01231124195687023
131,Lift,3.2399999999998648,0.012642660786795658,0.027521501075889576,0.012292268995363424
132,Lift,3.2599999999998626,0.01264077742909239,0.027512397851913617,0.012272810849730368
133,Lift,3.2799999999998604,0.012638271640007397,0.027502107983228996,0.012252834424303862
134,Lift,3.299999999999858,0.012635235389582266,0.027490804183160467,0.012232396637511174
135,Lift,3.319999999999856,0.012631766040468879,0.027478700390600963,0.012211627930171323
136,Lift,3.3399999999998538,0.012627936762337063,0.02746592721890584,0.01219055485519845
137,Lift,3.3599999999998515,0.012623806871754318,0.027452547615493206,0.012169166789853646
138,Lift,3.3799999999998493,0.012619419292433261,0.027438661196572955,0.012147496386446984
139,Lift,3.399999999999847,0.012614814524590727,0.02742434309539571,0.012125586045750793
140,Lift,3.419999999999845,0.012610023589679671,0.027409664740405904,0.01210345901430733
141,Lift,3.4399999999998427,0.012605074325697026,0.027394648795367404,0.0120811116083326
142,Lift,3.4599999999998405,0.012599984919311745,0.02737934002167136,0.012058551813390718
143,Lift,3.4799999999998383,0.012594773679387035,0.02736376281687497,0.012035794934818047
144,Lift,3.499999999999836,0.01258945319742484,0.027347957296810443,0.012012855333731453
145,Lift,3.519999999999834,0.012584036846748508,0.02733192952142338,0.011989734170991662
146,Lift,3.5399999999998317,0.012578532084739712,0.027315703857767992,0.011966433424011783
147,Lift,3.5599999999998295,0.012572947734869467,0.027299283881625447,0.011942958420456439
148,Lift,3.5799999999998273,0.012567288505517419,0.02728269336861433,0.011919315983511277
149,Lift,3.599999999999825,0.012561561109519327,0.027265930744969358,0.011895509163941336
150,Transfer,3.619999999999823,0.014757175838533108,0.02858887481708028,0.011602479827448598
151,Transfer,3.6399999999998207,0.01821065106999656,0.029671128510153577,0.013565615270332853
152,Transfer,3.6599999999998185,0.02162407221418041,0.030559485588878776,0.016106288775985668
153,Transfer,3.6799999999998163,0.02463587360244963,0.03527771079916242,0.018496807426395537
154,Transfer,3.699999999999814,0.027189134076150118,0.03977645702553989,0.020548178748264662
155,Transfer,3.719999999999812,0.029316634891281477,0.043445212124979427,0.022244184110398704
156,Transfer,3.7399999999998097,0.031073653458274453,0.04643697018653681,0.023617116561189574
157,Transfer,3.7599999999998075,0.032517210276281794,0.048876712218145935,0.024711522325703617
158,Transfer,3.7799999999998053,0.03369963997631105,0.0508663022193282,0.02557465297847602
159,Transfer,3.799999999999803,0.03466637934621851,0.05248877965891974,0.02624893808327882
160,Transfer,3.819999999999801,0.035455756470956105,0.053811996898529446,0.026769412051938647
161,Transfer,3.8399999999997987,0.03609961732905363,0.054891521257648845,0.02716396420909328
162,Transfer,3.8599999999997965,0.03662444954603205,0.05577272526799115,0.02745652428136513
163,Transfer,3.8799999999997943,0.03705200968498645,0.056491927408525044,0.027667316437165093
164,Transfer,3.899999999999792,0.03740017840898799,0.05707895307735933,0.027812462927851538
165,Transfer,3.91999999999979,0.03768353346407084,0.0575582328814539,0.027904248037261725
166,Transfer,3.9399999999997877,0.037913943375996885,0.057949337402739554,0.027952917682822716
167,Transfer,3.9599999999997855,0.03810120407519577,0.05826859030040743,0.027967027565470287
168,Transfer,3.9799999999997833,0.038253313600556435,0.058529152842010435,0.027953453249965867
169,Transfer,3.999999999999781,0.038376787862353476,0.058741816051081086,0.027917624590698038
170,Transfer,4.019999999999779,0.038476884844608095,0.058915402658689775,0.027863605950918482
171,Transfer,4.039999999999777,0.03855795328838634,0.05905715494220065,0.027794968472696465
172,Transfer,4.059999999999775,0.03862352547945864,0.0591728188514673,0.027714671027268517
173,Transfer,4.079999999999773,0.03867647658263331,0.059267276600897256,0.027624962407271483
174,Transfer,4.0999999999997705,0.03871912535426601,0.05934433479730605,0.027527612608210676
175,Transfer,4.119999999999768,0.038753397481659305,0.05940724176592649,0.027424065750825132
176,Transfer,4.139999999999766,0.03878083574502418,0.0594585705985069,0.027315602055507576
177,Transfer,4.159999999999764,0.038802725624753766,0.0595004847757189,0.027203121456221443
178,Transfer,4.179999999999762,0.038820090558849815,0.05953474877194331,0.027087335092512925
179,Transfer,4.1999999999997595,0.03883378118139332,0.059562794546246356,0.02696890895183702
180,Transfer,4.219999999999757,0.03884446509945513,0.05958560106965305,0.026848450750251572
181,Transfer,4.239999999999755,0.0388526995916668,0.05960425407911951,0.026726337592509874
182,Transfer,4.259999999999753,0.03885895162822623,0.05961944933403185,0.026602936852591453
183,Transfer,4.279999999999751,0.03886357370126377,0.05963192542093709,0.02647841064266496
184,Transfer,4.2999999999997485,0.03886687650795539,0.05964203138336999,0.02635304976093405
185,Transfer,4.319999999999746,0.03886911963087234,0.05965031238348906,0.026227086318458787
186,Transfer,4.339999999999744,0.03887048323148151,0.05965709725834034,0.026100559878886837
187,Transfer,4.359999999999742,0.03887114319520524,0.0596626361948166,0.025973647612931406
188,Transfer,4.37999999999974,0.03887124558712394,0.05966714098043657,0.025846513477150352
189,Transfer,4.3999999999997375,0.03887085764104666,0.05967088872058546,0.02571909910404991
190,Transfer,4.419999999999735,0.03887010027971038,0.05967387127091073,0.025591619249332703
191,Transfer,4.439999999999733,0.038869041322832455,0.059676366690410765,0.025464095564428035
192,Transfer,4.459999999999731,0.038867721605114654,0.05967839509162998,0.025336542298825915
193,Transfer,4.479999999999729,0.038866205366842335,0.05968005644296748,0.025209054020249314
194,Transfer,4.499999999999726,0.038864536312504236,0.05968142046239133,0.02508171281515874
195,Transfer,4.519999999999724,0.03886273793715433,0.059682539435768955,0.024954538174299407
196,Transfer,4.539999999999722,0.03886083086011227,0.059683457163320464,0.02482754061612138
197,Transfer,4.55999999999972,0.03885884089380509,0.059684211801090625,0.024700772416088406
198,Transfer,4.579999999999718,0.03885679035447727,0.05968483424940568,0.024574298248584606
199,Transfer,4.599999999999715,0.03885469137235389,0.05968534819300436,0.024448151792117092
200,Place,4.619999999999713,0.029863860887170596,0.04658446830802082,0.0191045202982485
201,Place,4.639999999999711,0.02316659603661045,0.035886011819567576,0.014873320888690743
202,Place,4.659999999999709,0.018599620700847412,0.028259272171829775,0.011580831952117088
203,Place,4.679999999999707,0.016010968725602873,0.028720610137098035,0.009103704630978265
204,Place,4.699999999999704,0.01506976580311839,0.029098291736684434,0.007344467263606498
205,Place,4.719999999999702,0.015243216685527972,0.029407830990808126,0.006223133926081376
206,Place,4.7399999999997,0.016002617662696103,0.029659258506432362,0.005637863263038322
207,Place,4.759999999999698,0.01698207559292962,0.029861574653447853,0.0054517984184625605
208,Place,4.779999999999696,0.017984063545078633,0.030027313353242935,0.005520100093491027
209,Place,4.799999999999693,0.01891469586384733,0.030164520098505232,0.005718556118373651
210,Place,4.819999999999691,0.01973712013606171,0.03036636769570389,0.005966559834695846
211,Place,4.839999999999689,0.020443737067423706,0.031708914403571875,0.006218772036059713
212,Place,4.859999999999687,0.021040629423340496,0.032796037946374035,0.006453089895154281
213,Place,4.879999999999685,0.021539246386066364,0.03367421892238967,0.006660701849640481
214,Place,4.899999999999682,0.02195219846195295,0.034382678420727286,0.006840001538291544
215,Place,4.91999999999968,0.022291996159496785,0.034953316082003305,0.006992516311667284
